,GDP,FEDR,CPI,Loan
2009-04-01,-0.381505792,-0.744727495,-671.7062774,-0.352858486
2009-07-01,-0.125616879,-0.795880017,-35.76891859,-0.338502939
2009-10-01,0.120581382,-0.920818754,-82.13266482,-0.315048136
2010-01-01,0.179798571,-0.886056648,-85.15064074,-0.266334851
2010-04-01,0.2460876,-0.721246399,-72.16463297,-0.230607632
2010-07-01,0.215577509,-0.721246399,-88.20915607,-0.18277512
2010-10-01,0.235944852,-0.721246399,-339.8793481,-0.152343859
2011-01-01,0.095224299,-0.795880017,-618.8596958,-0.085573918
2011-04-01,0.100566214,-1.045757491,-5412.281734,-0.039886758
2011-07-01,0.057020284,-1.096910013,380.0548599,-0.017441493
2011-10-01,0.213904797,-1.15490196,123.3651134,-0.015930583
2012-01-01,0.207046904,-1,55.53795141,-0.010641256
2012-04-01,0.23361333,-0.823908741,34.17484538,0.004392692
2012-07-01,0.129438912,-0.853871964,30.67420103,0.030877929
2012-10-01,0.063135201,-0.795880017,29.04729442,0.069298718
2013-01-01,0.063819016,-0.853871964,29.62704714,0.077981633
2013-04-01,0.080210029,-0.920818754,18.18319918,0.104340984
2013-07-01,0.153987134,-1.096910013,14.66259239,0.104287978
2013-10-01,0.202111616,-1.045757491,14.01324204,0.150695617
2014-01-01,0.149166751,-1.15490196,22.9414878,0.157534617
2014-04-01,0.188690718,-1.045757491,21.63911504,0.176105804
2014-07-01,0.199778538,-1.045757491,19.75650231,0.19267612
2014-10-01,0.276945969,-1,8.892624915,0.194110103
2015-01-01,0.177747353,-0.958607315,-8.43168122,0.182494605
